country_id,island_id,prefecture_id,commune_id,town_village_id,town_village_name,latitude,longitude
KM,KM1,KM12,KM124,KM124_0003,MRIDJOU,-12.33363960096466,44.49454302970143
KM,KM1,KM12,KM124,KM124_0004,DAJI,-12.33024366437102,44.48986525739884
KM,KM1,KM12,KM125,KM125_0001,ONGODJOU,,
KM,KM1,KM12,KM125,KM125_0002,KIYO,-12.33551667432872,44.51946045913034
KM,KM1,KM12,KM125,KM125_0003,KOMONI,-12.32541872238746,44.52132424547821
KM,KM1,KM12,KM125,KM125_0004,MIRONDRONI,-12.32415361558692,44.52291883827477
KM,KM1,KM12,KM125,KM125_0005,TRINDRINI,,
KM,KM1,KM12,KM122,KM122_0001,SHAWENI,,
KM,KM1,KM12,KM122,KM122_0002,HAMCHACO,-12.3743914,44.5119509
KM,KM1,KM12,KM122,KM122_0003,SADAPOINI,-12.3728211,44.507547
KM,KM1,KM12,KM122,KM122_0004,NOUNGA,-12.3479406,44.4995483
KM,KM1,KM12,KM122,KM122_0005,MNADZICHOUMWE,-12.345461,44.5006686
KM,KM1,KM12,KM123,KM123_0001,MRAMANI,,
KM,KM1,KM12,KM123,KM123_0002,HANTSAHII,,
KM,KM1,KM12,KM123,KM123_0003,NYAMBOIMRO,,
KM,KM1,KM12,KM123,KM123_0004,DZIANII,,
KM,KM1,KM15,KM152,KM152_0001,SIMA,-11.64868566292302,43.29372854205498
KM,KM1,KM15,KM152,KM152_0002,KAVANI,-12.19737106455074,44.26798192046536
KM,KM1,KM15,KM152,KM152_0003,BIMBINI,-12.19222521573667,44.23457735211406
KM,KM1,KM15,KM152,KM152_0004,BOUNGOUENI,-12.20977758513438,44.29824659354706
KM,KM1,KM15,KM152,KM152_0005,MIRONGANI,-12.19484291331598,44.25117437959371
KM,KM1,KM15,KM152,KM152_0006,MILEMBENI,,
KM,KM1,KM15,KM152,KM152_0007,MILEMBENI,-12.20224155888374,44.26310520358714
KM,KM1,KM15,KM153,KM153_0001,MROMOUHOULI,,
KM,KM1,KM15,KM153,KM153_0002,MARAHARE,-12.23414262482221,44.31361430815982
KM,KM1,KM15,KM153,KM153_0003,HASSIMPAO,,
KM,KM1,KM15,KM153,KM153_0004,SHITSANGASHELI,-12.23925412603609,44.3218497826623
KM,KM1,KM15,KM153,KM153_0005,VASSI,-12.23564566734995,44.34217090174886
KM,KM1,KM15,KM153,KM153_0006,IMERE,-12.24288395644702,44.36581120962344
KM,KM1,KM15,KM153,KM153_0007,DZINDRI I,-12.23571408750851,44.35084182172238
KM,KM1,KM15,KM153,KM153_0008,VOUANI,-12.24833258243775,44.37391282226227
KM,KM1,KM15,KM153,KM153_0009,DAR SALAMA,-12.25431732384045,44.38642862512951
KM,KM1,KM15,KM153,KM153_0010,BANDRANI YA VOUANI,-12.2489985288183,44.38458265617411
KM,KM1,KM15,KM153,KM153_0011,CHIROVE,-12.26963641612595,44.39704249440441
KM,KM1,KM15,KM153,KM153_0012,MARONTRONI,-12.24515911108584,44.36431197991197
KM,KM1,KM15,KM153,KM153_0013,SALAMANI,-12.27236795835944,44.49768894162543
KM,KM1,KM15,KM153,KM153_0014,SALAMANI,-12.23801036263309,44.36090677963118
KM,KM1,KM15,KM153,KM153_0015,IMERE YA GAWANI,,
KM,KM1,KM16,KM151,KM151_0001,MOYA,,
KM,KM1,KM16,KM151,KM151_0002,KOWET,-12.28652309319805,44.41849145786295
KM,KM1,KM16,KM151,KM151_0003,POMONI,-12.28326406155833,44.40792742473214
KM,KM1,KM16,KM151,KM151_0004,NINDRI,-12.28239214971529,44.41381247904238
KM,KM1,KM16,KM151,KM151_0005,LINGONI,-12.26574600460814,44.41077068945007
KM,KM1,KM16,KM151,KM151_0006,MAWENI,,
KM,KM1,KM16,KM151,KM151_0007,MAWENI,,
KM,KM2,KM27,KM274,KM274_0001,MORONI,,
KM,KM2,KM27,KM273,KM273_0001,MKAZI,,
KM,KM2,KM27,KM273,KM273_0002,M'VOUNI,-11.7199316,43.274666
KM,KM2,KM27,KM273,KM273_0003,MAVINGOUNI,-11.7184486,43.2621745
KM,KM2,KM27,KM271,KM271_0001,VOUVOUNI,,
KM,KM2,KM27,KM271,KM271_0002,M'DE,-11.7386809,43.2510342
KM,KM2,KM27,KM271,KM271_0003,SELEA,-11.7855211,43.2708659
KM,KM2,KM27,KM271,KM271_0004,NIOUMADZAHA,,
KM,KM2,KM27,KM271,KM271_0005,MOIDZAZA DJOUMBE,,
KM,KM2,KM27,KM271,KM271_0006,MBOUDADJOU,-11.7757808,43.2747549
KM,KM2,KM27,KM271,KM271_0007,DAOUENI,,
KM,KM2,KM27,KM271,KM271_0008,DZAHANI,-11.7741939,43.2772945
KM,KM2,KM27,KM271,KM271_0009,DZAHANI,-11.58540886618898,43.37209834234951
KM,KM2,KM27,KM271,KM271_0010,BOENI YA BAMBAO,,
KM,KM2,KM27,KM272,KM272_0001,ICONI,,
