country_id,country_name,island_id,island_name,prefecture_id,prefecture_name,commune_id,commune_name,town_village_id,town_village_name,year,population,country_name_local,island_name_local,prefecture_name_local,commune_name_local,town_village_name_local
KM,Comores,KM1,Anjouan,KM11,Domoni,KM114,Koni,KM114_0004,GEGE,2017,1116,Comores,NDZUWANI,DOMONI,KONI,GEGE
KM,Comores,KM1,Anjouan,KM11,Domoni,KM114,Koni,KM114_0003,HACHIPENDA,2017,1885,Comores,NDZUWANI,DOMONI,KONI,HACHIPENDA
KM,Comores,KM1,Anjouan,KM11,Domoni,KM114,Koni,KM114_0001,KONI DJODJO,2017,10712,Comores,NDZUWANI,DOMONI,KONI,KONI DJODJO
KM,Comores,KM1,Anjouan,KM11,Domoni,KM114,Koni,KM114_0002,KONI NGANI,2017,5170,Comores,NDZUWANI,DOMONI,KONI,KONI NGANI
KM,Comores,KM1,Anjouan,KM11,Domoni,KM115,Ngandzalé,KM115_0001,NGADZALE,2017,5524,Comores,NDZUWANI,DOMONI,NGADZALE,NGADZALE
KM,Comores,KM1,Anjouan,KM11,Domoni,KM115,Ngandzalé,KM115_0002,OUTSA,2017,726,Comores,NDZUWANI,DOMONI,NGADZALE,OUTSA
KM,Comores,KM1,Anjouan,KM11,Domoni,KM115,Ngandzalé,KM115_0005,OUZINI,2017,1760,Comores,NDZUWANI,DOMONI,NGADZALE,OUZINI
KM,Comores,KM1,Anjouan,KM11,Domoni,KM115,Ngandzalé,KM153_0014,SALAMANI,2017,2130,Comores,NDZUWANI,DOMONI,NGADZALE,SALAMANI
KM,Comores,KM1,Anjouan,KM16,MOYA,KM151,Moya,KM151_0002,KOWET,2017,2101,Comores,NDZUWANI,MOYA,MOYA,KOWET
KM,Comores,KM1,Anjouan,KM16,MOYA,KM151,Moya,KM151_0005,LINGONI,2017,4947,Comores,NDZUWANI,MOYA,MOYA,LINGONI
KM,Comores,KM1,Anjouan,KM16,MOYA,KM151,Moya,KM151_0007,MAWENI,2017,794,Comores,NDZUWANI,MOYA,MOYA,MAWENI
KM,Comores,KM1,Anjouan,KM16,MOYA,KM151,Moya,KM151_0001,MOYA,2017,8986,Comores,NDZUWANI,MOYA,MOYA,MOYA
KM,Comores,KM1,Anjouan,KM16,MOYA,KM151,Moya,KM151_0004,NINDRI,2017,3074,Comores,NDZUWANI,MOYA,MOYA,NINDRI
KM,Comores,KM1,Anjouan,KM16,MOYA,KM151,Moya,KM151_0003,POMONI,2017,4238,Comores,NDZUWANI,MOYA,MOYA,POMONI
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM121,Adda,KM121_0001,ADDA DAWENI,2017,11449,Comores,NDZUWANI,MREMANI,ADDA,ADDA DAWENI
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM121,Adda,KM121_0002,DJANZA,2017,829,Comores,NDZUWANI,MREMANI,ADDA,DJANZA
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM121,Adda,KM121_0005,KANGANI,2017,4890,Comores,NDZUWANI,MREMANI,ADDA,KANGANI
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM121,Adda,KM121_0003,MAGNASSINI,2017,4314,Comores,NDZUWANI,MREMANI,ADDA,MAGNASSINI
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM123,Mramani,KM123_0004,DZIANII,2017,1958,Comores,NDZUWANI,MREMANI,MRAMANI,DZIANII
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM123,Mramani,KM123_0002,HANTSAHII,2017,1479,Comores,NDZUWANI,MREMANI,MRAMANI,HANTSAHII
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM123,Mramani,KM123_0001,MRAMANI,2017,4046,Comores,NDZUWANI,MREMANI,MRAMANI,MRAMANI
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM123,Mramani,KM123_0003,NYAMBOIMRO,2017,2079,Comores,NDZUWANI,MREMANI,MRAMANI,NYAMBOIMRO
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM124,Mrémani,KM124_0002,BANDA KOUNI,2017,3706,Comores,NDZUWANI,MREMANI,MREMANI,BANDA KOUNI
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM124,Mrémani,KM124_0004,DAJI,2017,3124,Comores,NDZUWANI,MREMANI,MREMANI,DAJI
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM124,Mrémani,KM124_0001,MREMANI,2017,5470,Comores,NDZUWANI,MREMANI,MREMANI,MREMANI
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM124,Mrémani,KM124_0003,MRIDJOU,2017,3506,Comores,NDZUWANI,MREMANI,MREMANI,MRIDJOU
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM125,Ongojou,KM125_0002,KIYO,2017,1654,Comores,NDZUWANI,MREMANI,ONGOJOU,KIYO
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM125,Ongojou,KM125_0003,KOMONI,2017,2679,Comores,NDZUWANI,MREMANI,ONGOJOU,KOMONI
KM,Comores,KM1,Anjouan,KM12,Mrémani,KM125,Ongojou,KM125_0004,MIRONDRONI,2017,407,Comores,NDZUWANI,MREMANI,ONGOJOU,MIRONDRONI
